Alabama,Southeast
Alaska,Pacific West
Arizona,Pacific West
Arkansas,Southeast
California,Pacific West
Colorado,Plains
Connecticut,Northeast
Delaware,Northeast
District of Columbia,Northeat
Florida,Southeast
Georgia,Southeast
Hawaii,Pacific West
Idaho,Pacific West
Illinois,Midwest
Indiana,Midwest
Iowa,Midwest
Kansas,Plains
Kentucky,Midwest
Louisiana,Southeast
Maine,Northeast
Maryland,Northeast
Massachusetts,Northeast
Michigan,Midwest
Minnesota,Midwest
Mississippi,Southeast
Missouri,Midwest
Montana,Plains
Nebraska,Plains
Nevada,Pacific West
New Hampshire,Northeast
New Jersey,Northeast
New Mexico,Plains
New York,Northeast
North Carolina,Southeast
North Dakota,Plains
Ohio,Midwest
Oklahoma,Plains
Oregon,Pacific West
Pennsylvania,Northeast
Rhode Island,Northeast
South Carolina,Southeast
South Dakota,Plains
Tennessee,Southeast
Texas,Plains
Utah,Pacific West
Vermont,Northeast
Virginia,Northeast
Washington,Northeast
West Virginia,Northeast
Wisconsin,Midwest
Wyoming,Plains
Caribbean,Caribbean
Unknown,Other
Other Foreign,Other
Pacific Ocean,Pacific
